Constituency,District,Culture,Seat_Polled,SPA_Votes,AIADMK_Votes,TVK_Votes,Others_Votes,SPA_Pct,AIADMK_Pct,TVK_Pct,Others_Pct,Winner,Winning_Votes,Margin_Votes,Margin_Pct
Srivilliputhur,Virudhunagar,Mixed,186145,68039,60445,29848,27813,36.55,32.47,16.03,14.94,SPA,68039,7594,4.08
Vilathikulam,Thoothukudi,Mixed,166364,46681,57067,23782,38834,28.06,34.3,14.3,23.34,AIADMK+,57067,10386,6.24
Virudhunagar,Virudhunagar,Mixed,166622,53598,49740,32695,30589,32.17,29.85,19.62,18.36,SPA,53598,3858,2.32
Tiruchendur,Thoothukudi,Mixed,189075,49371,58562,41907,39235,26.11,30.97,22.16,20.75,AIADMK+,58562,9191,4.86
Sankarankovil,Tenkasi,Mixed,196161,131394,23403,8629,32735,66.98,11.93,4.4,16.69,SPA,131394,98659,50.29
Srivaikuntam,Thoothukudi,Mixed,173936,50589,45776,40990,36581,29.08,26.32,23.57,21.03,SPA,50589,4813,2.77
Thoothukkudi,Thoothukudi,Mixed,203423,71779,60934,40606,30104,35.29,29.95,19.96,14.8,SPA,71779,10845,5.33
Tiruvadanai,Ramanathapuram,Mixed,228341,47759,79187,58483,42912,20.92,34.68,25.61,18.79,AIADMK+,79187,20704,9.07
Vasudevanallur,Tenkasi,Mixed,187571,55915,64312,31766,35578,29.81,34.29,16.94,18.97,AIADMK+,64312,8397,4.48
Mudhukulathur,Ramanathapuram,Mixed,240505,61549,75953,48055,54948,25.59,31.58,19.98,22.85,AIADMK+,75953,14404,5.99
Alangulam,Tenkasi,Mixed,209668,58285,57727,46480,47176,27.8,27.53,22.17,22.5,SPA,58285,558,0.27
Kadayanallur,Tenkasi,Mixed,220973,69155,58125,46613,47080,31.3,26.3,21.09,21.31,SPA,69155,11030,4.99
Palayamkottai,Tirunelveli,Southern,218394,66161,61045,69363,21825,30.29,27.95,31.76,9.99,TVK,69363,3202,1.47
Ambasamudram,Tirunelveli,Southern,193373,48761,61102,52654,30856,25.22,31.6,27.23,15.96,AIADMK+,61102,8448,4.37
Ottapidaram,Thoothukudi,Mixed,197876,56148,60100,41204,40424,28.38,30.37,20.82,20.43,AIADMK+,60100,3952,2.0
Kovilpatti,Thoothukudi,Mixed,196177,31359,47275,50841,66702,15.99,24.1,25.92,34.0,Others,66702,15861,8.09
Radhapuram,Tirunelveli,Southern,209660,62191,61072,42474,43923,29.66,29.13,20.26,20.95,SPA,62191,1119,0.53
Kanniyakumari,Kanniyakumari,Mixed,245945,88790,62920,45764,48471,36.1,25.58,18.61,19.71,SPA,88790,25870,10.52
Tenkasi,Tenkasi,Mixed,231157,60543,76182,50295,44137,26.19,32.96,21.76,19.09,AIADMK+,76182,15639,6.77
Colachal,Kanniyakumari,Mixed,225633,84357,63980,47149,30147,37.39,28.36,20.9,13.36,SPA,84357,20377,9.03
Padmanabhapuram,Kanniyakumari,Mixed,200487,64409,59508,35450,41120,32.13,29.68,17.68,20.51,SPA,64409,4901,2.44
Tirunelveli,Tirunelveli,Southern,234120,71884,53837,54590,53809,30.7,23.0,23.32,22.98,SPA,71884,17294,7.39
Killiyoor,Kanniyakumari,Mixed,208892,69232,52080,45811,41769,33.14,24.93,21.93,20.0,SPA,69232,17152,8.21
Nanguneri,Tirunelveli,Southern,218259,68025,67920,41038,41276,31.17,31.12,18.8,18.91,SPA,68025,105,0.05
Nagercoil,Kanniyakumari,Mixed,220418,71360,54184,43497,51377,32.37,24.58,19.73,23.31,SPA,71360,17176,7.79
Vilavancode,Kanniyakumari,Mixed,192928,61128,61589,49731,20480,31.68,31.92,25.78,10.62,AIADMK+,61589,461,0.24
